class,Question,a,b,c,d,Answer
BeastAttack.cs,What does the BeastAttack class do in the Unity project?,Manages player movement,Generates sounds,Manages the beast attack behavior and player hit behavior,Controls the camera,c
BeastAttack.cs,What does the gameObject that uses the BeastAttack.cs script need to have on it?,A Rigidbody,A Collider,A Cinemachine Impulse Source,All of the above,d
BeastAttack.cs,What happens when the player gets hit while in the beast's Escaping state?,The player is pushed back,The player is pushed back and the beast enters a cooldown state,The player is pushed back and the beast dies,The player is not affected,b
BeastKillsPlayerSequenceAnimator.cs,What is the purpose of the BeastKillsPlayerSequenceAnimator class?,To control player movement,To manage the beast killing player animation sequence,To handle player combat actions,To store references to key player components,b
BeastKillsPlayerSequenceAnimator.cs,"In the BeastKillsPlayerSequenceAnimator class, what does the StartSequence method do?",Finds the farthest destination from the player,Activates and plays the animation sequence,Returns a random destination,Sets the player position,b
BeastKillsPlayerSequenceAnimator.cs,What does the OnRespawnClicked method do in the BeastKillsPlayerSequenceAnimator class?,Deactivates the animation sequence,Teleports the player,Sets the player position,Finds the farthest destination from the player,a
Beast.BeastManager.cs,"What states can the beast be in, according to the State enum?","Sleep, On Target, Roaming, Escaping, and Bleeding","Sleep, On Target, Roaming, Escaping, and Killing","Sleep, On Target, Roaming, Escaping, and Attacking","Sleep, On Target, Roaming, Escaping, and Stunned",b
Beast.BeastManager.cs,What happens when the lights are back on? (event LevelEventHub.OnLightsBackOn),The beast changes to state Sleep.,The beast changes to state Killing.,The beast changes to state Escaping.,The beast changes to state Roaming.,c
Beast.BeastManager.cs,What is the purpose of the _scapingState variable?,To control the beast's movement when it is escaping.,To control the beast's movement when it is sleeping.,To control the beast's movement when it is roaming.,To control the beast's movement when it is on target.,a
BeastState.cs,What is the purpose of the BeastState abstract class in Unity's Beast.States namespace? ,To control player movement,To manage some player behavior functionality,To handle player combat actions,To store references to key player components,d
BeastState.cs,"In the BeastState class, what is the purpose of the LookAt() method? ",To shoot a laser beam in a direction,To slowly turn the head to face a target position,To change the rotation of the entire beast to point it at a position,To fire a projectile at a target,b
BeastState.cs,Which method in the BeastState class is responsible for setting up the state's properties and injecting its required parameters? ,Init(),Activate(),EnterState(),Start(),a
BeastStateKilling.cs,"In the BeastStateKilling class, what is the purpose of the _timeLeft field?",To store the time since the player was killed,To store the time left until the beast starts attacking,To store the time left before the beast changes state,To store the time left until the beast kills the player,c
BeastStateKilling.cs,What does the Update() method do in the BeastStateKilling class?,Hides the beast from the player,Makes the beast look at the player and transition to roaming state after a certain time,Makes the beast attack the player,Makes the beast chase the player,b
BeastStateKilling.cs,What happens when the BeastStateKilling state is activated?,The beast becomes invisible,The beast's movement speed is set to normal,The beast's attack cooldown is reset,The beast's navigation path is reset,d
BeastStateOnTarget.cs,What is the purpose of the 'eyeSightDistance' field in BeastStateOnTarget.cs?,It stops other beasts from getting in the player's way.,It sets the player's fast speed.,It defines how far the beast can see.,It determines the player's normal speed.,c
BeastStateOnTarget.cs,What will happen if the player is not in the beast's line of sight in BeastStateOnTarget.cs?,The beast will charge at the player.,The beast will continue chasing the player.,The beast will transition to RoamingOnSight state.,The beast will transition to Roaming state.,d
BeastStateOnTarget.cs,When does the beast start running toward the player in BeastStateOnTarget.cs?,When the player is within a certain distance.,When the beast is on cooldown.,When the beast is in RoamingOnSight state.,When the player is not in the beast's line of sight.,a
BeastStateRoaming.cs,"In BeastStateRoaming.cs, what is the purpose of the `CheckForPlayerInSight()` method?",To check if the player is in the beast's line of sight.,To check if the player is making sound.,To update the beast's current roaming position.,To change the beast's state to OnTarget.,a
BeastStateRoaming.cs,"In BeastStateRoaming.cs, what happens when the beast reaches its current roaming point?",It will stay at the point and wait for the player.,It will teleport to a new roaming point.,It will get a new roaming point and start moving towards it.,It will change its state to OnTarget.,c
BeastStateRoaming.cs,"In BeastStateRoaming.cs, what does the beast do when it hears the player making sound?",It will change its state to OnTarget.,It will ignore the sound and continue roaming.,It will roam to the player's last heard position.,It will increase the detection angle.,c
BeastStateScaping.cs,"In BeastStateScaping.cs, what is the purpose of the Update() method?",To check if the beast has reached its hiding place,To change the beast's state,To make the beast look at the player,To set the beast's destination,a
BeastStateScaping.cs,"In BeastStateScaping.cs, when does the beast change to the Sleep state?",When the beast reaches its hideout,When the player brings the power back on,When the beast is out,When the player turns off the power,a
BeastStateScaping.cs,"In BeastStateScaping.cs, what happens when the OnStateActivated() method is called?",The beast's destination is set to its hideout position,The beast's speed is set to normal,The beast's state is changed to Sleep,The beast is teleported to its hideout,a
BeastStateSleep.cs,"Within the BeastStateSleep class, what is the purpose of the OnStateActivated method?",To enable the NavMeshAgent component.,To move the beast to its hideout position.,To set the beast's speed.,To deactivate the beast's gameObject.,b
BeastStateSleep.cs,What is the main responsibility of the BeastStateSleep class?,To control the beast's movement.,To manage the beast's attacks.,To handle the beast's sleep state.,To detect when the player is near the beast.,c
BeastStateSleep.cs,Which of the following methods is defined in the BeastStateSleep class to handle the beast's behavior when it is activated?,OnStateDeactivated,Update,OnStateActivated,Awake,c
GlobalEventHub.cs,What is the purpose of GlobalEventHub class?,To manage game objects,To allow communication between components without having to reference each other,To handle player input,To store game data,b
GlobalEventHub.cs,What is the OnGameStart event for?,This event is called at the start of the game,This event is called when the player scores points,This event is called when the player dies,This event is called when the player wins the game,a
GlobalEventHub.cs,How do components subscribe to the OnGameStart event?,They add a method to the OnGameStart event delegate,They call the GameStart() method,They add a listener to the OnGameStart event,They set the OnGameStart event to true,a
LevelEventHub.cs,What is the purpose of the LevelEventHub class in LevelEventHub.cs?,To control player movement,To manage some player behavior functionality,To handle player combat actions,To provide a way for components to communicate with each other without referencing each other,d
LevelEventHub.cs,What does the OnPowerCoreInserted method do in LevelEventHub.cs?,Finds the farthest destination from the player,Teleports the player,Returns a random destination,Raises an event when a power core has been inserted into a power station,d
LevelEventHub.cs,What does the OnLightGunLightInjected method do in LevelEventHub.cs?,Finds the farthest destination from the player,Teleports the player,Returns a random destination,Raises an event when a new light has been injected into a light gun object,d
PlayerBehaviourEventHub.cs,What is the purpose of PlayerBehaviourEventHub?,To manage player movement,To communicate between different components,To handle player combat actions,To store references to key player components,b
PlayerBehaviourEventHub.cs,What event is triggered when the player fully grabs an object?,OnPlayerGotHit,OnPlayerGrabbedAnObject,OnPlayerHealthEnded,OnPlayerUnGrabbedAnObject,b
PlayerBehaviourEventHub.cs,Which component invokes PlayerRespawned?,GrabbableObjects.cs,PlayerHealthManager.cs,BeastAttack.cs,DeathRespawnManager.cs,d
UiEventHub.cs,What is the purpose of the UiEventHub class?,To handle player movement,To allow communication between components without having to reference each other,To manage some player behavior functionality,To store references to key player components,b
UiEventHub.cs,What does the MainHint() method do in UiEventHub.cs?,Updates the current objective of the game,Triggers the 'OnMainHint' event,Returns a random destination,Sets the player position,b
UiEventHub.cs,Which event is used to update the current objective of the game?,OnMainHint,OnCurrentObjectiveUpdate,OnPlayerLookAtInteractable,OnPowerSwitchUpdate,b
FallenToVoidObjectDestroyer.cs,"In FallenToVoidObjectDestroyer.cs, what is the purpose of the class?",To remove any object that enters the void,To teleport objects to another location,To track the player's position,To set the player's position,a
FallenToVoidObjectDestroyer.cs,"In the FallenToVoidObjectDestroyer.cs, what happens when an object enters the ""void""?",It is transported to a random location,Its position is reset,It is destroyed,It is teleported to the player,c
FallenToVoidObjectDestroyer.cs,Which method is responsible for removing an object that falls into the void?,OnTriggerEnter(),Update(),Start(),Awake(),a
PlayerDetector.cs,What does the 'ShoutOnTrigger' field in the PlayerDetector class control?,Whether to destroy the object on trigger,Whether to broadcast an event globally and in the inspector,Whether to call other functions on the object,Whether to add the object to a list of detected objects,b
PlayerDetector.cs,What happens when the PlayerDetector's OnTriggerEnter method is called?,It destroys the object,It broadcasts a global event and invokes a UnityEvent,It teleports the player to a specific location,It saves the object's position,b
PlayerDetector.cs,What is the purpose of the PlayerDetector class? ,To detect when an object enters its trigger zone,To manage the player's health,To control the player's movement,To store the player's inventory,a
SimpleLight.cs,What is the purpose of the SimpleLight class?,To control the intensity of lights.,To manage the range of lights.,To toggle lights on and off.,To change the color of lights.,c
SimpleLight.cs,What is a complex light in the context of SimpleLight?,A light with multiple sources.,A light that emits multiple colors.,A light that is attached to a child object.,A light that is brighter than a simple light.,c
SimpleLight.cs,What does the TurnOn method do in SimpleLight?,Turns the light off.,Sets the light's color.,Turns the light on and sets its color.,Sets the light's intensity.,c
KitsController.cs,What is the purpose of the KitsController class?,To control player movement and animation,To manage player behavior,To handle player combat actions,To store references to key player components,a
KitsController.cs,Which method is used to make Kits run to a random destination?,GoThere(),UpdateAnimator(),LightsOut(),LightsBackOn(),a
KitsController.cs,What does the KitsController class do when the power goes out?,Start running to a random destination,Light up Kits mask,Stop moving,Turn off Kits mask,b
Level.LevelLightsManager,What is the purpose of the Level.LevelLightsManager class?,To control player movement.,To manage lights during a power outage and when the power is restored.,To handle player combat actions.,To store references to key player components.,b
Level.LevelLightsManager,What is the emergencyLights field in Level.LevelLightsManager?,A collection of lights that stay on during a power outage.,A variable that tells you if the lights are on or off.,A manager for the lights in the level.,A list of all the lights in the level.,a
Level.LevelLightsManager,What does the OnPowerSwitchActivated method do in Level.LevelLightsManager?,Turns off the lights.,Turns on the lights.,Increments the count of activated power switches.,Decrements the count of activated power switches.,c
LevelManager.cs,"In LevelManager.cs, what is the purpose of the mainMenuCameraTransform field?",To set the camera position for the main menu scene.,To set the camera position for the player respawn point.,To set the camera position for the level start point.,To set the camera position for the beast spawn point.,a
LevelManager.cs,What does the FinishedAndExitedLevel() method do in LevelManager.cs?,Calculates the time to beat the level and saves it.,Unloads the current level and loads the next one.,Locks the main door to prevent the player from re-entering the level.,All of the above,d
LevelManager.cs,What happens when a player detector is triggered in LevelManager.cs?,The player enters the next level.,The player exits the current level.,The player respawns at the last checkpoint.,The player's health is restored.,b
Level.LevelRoomPuzzleMaster,What is the main function of the LevelRoomPuzzleMaster abstract class?,To manage puzzle room behavior.,To handle player interactions.,To control player movement.,To store references to key player components.,a
Level.LevelRoomPuzzleMaster,What is the purpose of the OnStart method in LevelRoomPuzzleMaster?,To initialize puzzle room components.,To start the puzzle room music.,To activate puzzle room traps.,To display puzzle room instructions.,a
Level.LevelRoomPuzzleMaster,What is the role of the OnEnable method in LevelRoomPuzzleMaster?,To enable puzzle room collisions.,To activate puzzle room power-ups.,To reset puzzle room traps.,To enable puzzle room interactions.,d
LevelSummaryAdapter.cs,What does the LevelSummaryAdapter class in Unity do?,Controls player movement,Stores level summary information,Manages player combat actions,Generates random destinations,b
LevelSummaryAdapter.cs,What method is used to display the previous level summary screen?,Start(),Update(),Awake(),OnEnable(),a
LevelSummaryAdapter.cs,Where does the LevelSummaryAdapter class get the previous level summary information from?,Player Input,PlayerPrefs,Random Generation,Scene Transition,b
PowerOutageBeastReleaseManager.cs,What is the purpose of the PowerOutageBeastReleaseManager class?,To manage player combat actions,To manage power outages and beast releases,To store references to key player components,To handle player movement,b
PowerOutageBeastReleaseManager.cs,What does the IsItOkToCutThePowerAndReleaseBeast() method do?,Checks if the player is holding something,Checks if the player is inside the forbidden area,Checks if the player is in combat,Checks if the power is on,b
PowerOutageBeastReleaseManager.cs,When does the CutPowerAndReleaseBeast() method get called?,When the player enters the forbidden area,When the player releases the beast,When the power is back on,When the time until the next outage is up,d
PowerSwitchUiHelper.cs,What is the purpose of the PowerSwitchUiHelper class?,To activate power switches,To manage the UI for the power switches,To turn the lights on and off,To control player movement,b
PowerSwitchUiHelper.cs,What is the name of the method that is called by LevelLightsManager.cs when a power switch is activated?,PowerSwitchActivated(),LightsOut(),LightsBackOn(),CurrentObjectiveUpdate(),a
PowerSwitchUiHelper.cs,What does the LightsBackOn() method do?,Updates the UI to show the activated power switches count,Turns the lights back on,Removes the current objective text from the UI,Activates a power switch,c
Level1EventHub.cs,What is the purpose of a method like TeleportToSafety() in Level1EventHub.cs?,To teleport the player to safety.,To end the level.,To start the level.,To reset the player's health.,a
Level1EventHub.cs,What type of design pattern does Level1EventHub.cs implement?,Singleton,Factory,EventHub,Observer,c
Level1EventHub.cs,"In Level1EventHub.cs, what does the Room1PoolUpdate() method do?",Updates the room's pool of objects.,Adds an object to the room's pool.,Removes an object from the room's pool.,All of the above.,d
Level1Manager.cs,What does the GameStartTask() method do?,Starts a countdown and resets player position,Plays a player wake up animation,Loads the next level,Unloads current level,b
Level1Manager.cs,What is the purpose of the PlayerWokeUp() method?,Disables player and gameplay UI,Unlocks the main door,Subscribes to some events,Enables player and gameplay UI,d
Level1Manager.cs,What does the LightsBackOn() method do?,Listens to some events,Unlocks the main door,Teleports player to a safe place,Disables player and gameplay UI,b
Level1PuzzleMaster.cs,What does the Level1PuzzleMaster class do?,Manages all puzzle room managers in level 1,Controls player movement,Handles player combat actions,Stores references to key player components,a
Level1PuzzleMaster.cs,What methods are called from Level1Manager to the Level1PuzzleMaster?,"OnStart, OnEnable, and OnDisable","Update, FixedUpdate, and OnGUI","Awake, Start, and OnDestroy","OnApplicationQuit, OnApplicationFocus, and OnApplicationPause",a
Level1PuzzleMaster.cs,What are the names of the puzzle room managers that are managed by the Level1PuzzleMaster?,"Level1Room0PuzzleMaster, Level1Room1PuzzleMaster, Level1Room2PuzzleMaster, Level1Room3PuzzleMaster, and Level1Room4PuzzleMaster","PlayerManager, EnemyManager, LevelManager, and GameManager","InputManager, AudioManager, CameraManager, and SceneManager","UIManager, AnimationManager, PhysicsManager, and NetworkManager",a
Level1RoomPuzzleMaster.cs,What is the purpose of the puzzleIndicator variable in the Level1RoomPuzzleMaster class?,To indicate that a puzzle has been solved,To control the player's movement,To manage the behavior of enemies,To store the player's current position,a
Level1RoomPuzzleMaster.cs,What is the purpose of the turnedOnAfterPuzzle array in the Level1RoomPuzzleMaster class?,To store references to lights that are turned on after a puzzle is solved,To control the player's health,To manage the behavior of doors,To store the player's current score,a
Level1RoomPuzzleMaster.cs,What is the purpose of the puzzleMainDoor and puzzleSideDoor variables in the Level1RoomPuzzleMaster class?,To control the player's movement,To manage the behavior of enemies,To unlock doors after a puzzle is solved,To store the player's current position,c
Lvl1EventFirstBeastSpawn.cs,What does the All4PuzzlesAreSolved() method in Lvl1EventFirstBeastSpawn.cs do?,Activates all player detectors,Disables all player detectors,Activates all four puzzles,Disables all four puzzles,a
Lvl1EventFirstBeastSpawn.cs,Which method in Lvl1EventFirstBeastSpawn.cs is called when the player enters any player detector and what does it do?,"PlayerDetectorTriggered(), and it activates the beast","PlayerDetectorTriggered(), and it teleports the player to a safe room","PlayerDetectorTriggered(), and it turns off the lights","PlayerDetectorTriggered(), and it unlocks all doors",b
Lvl1EventFirstBeastSpawn.cs,What does the PowerSwitchActivated() method do when id is 0?,Activates all power switches,Deactivates all power switches,Unlocks all doors,Locks all doors,c
Lvl1FriendManager.cs,What is the purpose of the Lvl1FriendManager class?,To manage all the friend voice tracks in level 1,To control player movement,To handle player combat actions,To store references to key player components,a
Lvl1FriendManager.cs,What does the SolvedPuzzle method do in Lvl1FriendManager.cs?,Plays the sound when a puzzle is solved,Teleports the player,Returns a random destination,Sets the player position,a
Lvl1FriendManager.cs,What events does the Lvl1FriendManager class subscribe to?,"PlayerDetectorTriggered, LightsBackOn, BeastStateUpdate","PlayerMovement, PlayerCombat, PlayerHealth","LevelStart, LevelEnd, GameOver","Input, Update, FixedUpdate",a
Lvl1TutorialManager.cs,What is the purpose of the Lvl1TutorialManager class?,To handle player movement,To manage some player behavior functionality,To store references to key player components,To control player combat actions,b
Lvl1TutorialManager.cs,What is the purpose of the PlayerDetectorTriggered method in Lvl1TutorialManager.cs?,To show the tutorial message for a player detector,To activate the next trigger zone,To hide the tutorial text,To collect a collectable,a
Lvl1TutorialManager.cs,What is the purpose of the PlayerCollectedCollectable method in Lvl1TutorialManager.cs?,To show the tutorial message for a collectable,To set a corresponding bool in PlayerGunItemManager to true,To collect a collectable,To activate the next trigger zone,a
SafePlaceTeleporter.cs,What is the purpose of the SafePlaceTeleporter class in Level1.cs?,To teleport the player to the farthest safe place from the beast when the player's health reaches 0.,To manage the player's movement.,To handle player combat actions.,To store references to key player components.,a
SafePlaceTeleporter.cs,What does the OnTeleportToSafety() method do in SafePlaceTeleporter.cs?,It teleports the player to the farthest safe place from the beast.,It sets the player's health to 0.,It returns a random safe place.,It disables the SafePlaceTeleporter script.,a
SafePlaceTeleporter.cs,What happens when the SafePlaceTeleporter class is enabled?,It subscribes to the OnTeleportToSafety event.,It teleports the player to the farthest safe place.,It unregisters from the OnTeleportToSafety event.,It sets the player's health to 0.,a
Level1Room0PuzzleMaster.cs,What is the purpose of the Level1Room0PuzzleMaster class?,To control player movement,To implement puzzle logic for a starting room,To manage some player behavior functionality,To store references to key player components,b
Level1Room0PuzzleMaster.cs,What does the PowerCoreInserted() method do in Level1Room0PuzzleMaster?,Locks the main door,Unlocks the main door if the right power core is inserted,Teleports the player,Sets the player position,b
Level1Room0PuzzleMaster.cs,What event does the Level1Room0PuzzleMaster class subscribe to and why?,OnPowerCoreInserted,OnPowerCoreRemoved,OnPlayerDeath,OnPlayerRespawn,a
Level1Room1PuzzleMaster.cs,What is the purpose of the PuzzleCompleted() method in Level1Room1PuzzleMaster.cs?,To check if all pools are filled.,To unlock the main door.,To turn on the puzzle indicator.,To update the friend manager.,b
Level1Room1PuzzleMaster.cs,"What does the Room1PoolUpdate(int id, bool isFull) in Level1Room1PuzzleMaster.cs do?",To subscribe to an event.,To check if a pool is full.,To update the array of pools.,To call the PuzzleCompleted() method.,c
Level1Room1PuzzleMaster.cs,What happens when the PuzzleCompleted() method is called?,The main door is unlocked.,The puzzle indicator turns green.,The friend manager is updated.,All of the above.,d
Level1Room2PuzzleMaster.cs,What is the purpose of the PuzzleCompleted() function in Level1Room2PuzzleMaster.cs?,To unlock the main door.,To update the wires to show the current status of the puzzle,To check if all lights are injected correctly,To call the Lvl1FriendManager.Instance.SolvedPuzzle() function.,a
Level1Room2PuzzleMaster.cs,What event does the Level1Room2PuzzleMaster.cs class subscribe to?,OnLightGunLightInjected,OnStart,OnDisable,OnEnable,a
Level1Room2PuzzleMaster.cs,What does the CheckForCompletion() function do in Level1Room2PuzzleMaster.cs?,To update the wires to show the current status of the puzzle,To call the PuzzleCompleted() function if all lights are injected correctly,To check if all lights are injected correctly,To subscribe to some events,b
Level1Room3PuzzleMaster.cs,"In Level1Room3PuzzleMaster.cs, what is the purpose of the 'PowerCoreInserted' method?",To lock the main door,To inject light into the 'spawRoomSideDoor',To unlock the main door,To move the cage,c
Level1Room3PuzzleMaster.cs,What happens in Level1Room3PuzzleMaster.cs when a power core is ejected from the power station and it was for this room?,The main door is unlocked,The light in the room is turned off,The puzzle indicator turns on,The cage is unlocked,d
Level1Room3PuzzleMaster.cs,"In Level1Room3PuzzleMaster.cs, what happens when the 'OnEnable' method is called?",The 'PowerCoreInserted' and 'PowerCoreEjected' methods are subscribed to,The 'PowerCoreInserted' method is called,The 'PowerCoreEjected' method is called,The cage is moved,a
Level1Room4PuzzleMaster.cs,What is the purpose of the glass variable in the Level1Room4PuzzleMaster class? ,To store a reference to the player object.,To control the movement of the glass pieces.,To manage the lights in the puzzle room.,To keep track of the power core.,b
Level1Room4PuzzleMaster.cs,What happens when a green light is injected into light with id 41 in the Level1Room4PuzzleMaster class? ,The power core is inserted into the power station.,The puzzle is completed.,The glass pieces move down.,The main door is unlocked.,c
Level1Room4PuzzleMaster.cs,What is the purpose of the OnEnable() method in the Level1Room4PuzzleMaster class? ,To initialize the glass pieces.,To register for events.,To unlock the main door.,To start the puzzle timer.,b
Lvl1R1ObjectDetector.cs,What is the purpose of the Lvl1R1ObjectDetector class?,To detect when an object is added to or removed from a pool.,To control player movement.,To manage some player behavior functionality.,To store references to key player components.,a
Lvl1R1ObjectDetector.cs,What happens when an object enters the trigger zone (pool)?,The Lvl1R1ObjectDetector class is attached to the pools.,The object count is increased and the Room1PoolUpdate event is called.,The object is teleported to another location.,The player's position is set.,b
Lvl1R1ObjectDetector.cs,What happens when an object exits the trigger zone (pool)?,The object count is increased and the Room1PoolUpdate event is called.,The object count is decreased and the Room1PoolUpdate event is called.,The object is teleported to another location.,The player's position is set.,b
KeyGlassCage.cs,What does the KeyGlassCage class do?,Controls player movement,Manages key items,Opens and closes the glass cage that holds the keys in level 2,Handles player combat actions,c
KeyGlassCage.cs,What is the purpose of the Open() method?,Closes the cage,Teleports the player,Reveals the key by opening the cage,Stores references to key player components,c
KeyGlassCage.cs,What is the purpose of the Transform glass variable?,Stores a reference to the player transform,Stores a reference to the glass cage transform,Stores a reference to the key transform,Stores a reference to the camera transform,b
Level2MainCoreStationManager.cs,What happens when you insert the first power core in Level2MainCoreStationManager.cs?,The platform is brought up,A random destination is returned,The main door is unlocked,The player position is set,a
Level2MainCoreStationManager.cs,What is the purpose of the OnEnable() method in Level2MainCoreStationManager.cs?,To enable the platform animator,To add the cores to the platform,To subscribe to some events,To set the parent of the cores to null,c
Level2MainCoreStationManager.cs,What does the SolvedPuzzle() method do in Level2MainCoreStationManager.cs?,Unlocks the main door,Calls SolvedAllPuzzles(),Adds 1 to the solvedPuzzles count,All of the above,d
Level2Manager.cs,What is the purpose of the Level2Manager class?,It loads the next level,It manages the puzzles in the level,It manages the main core station in the level,It acts as a hub for references to other classes and delegates events to them,d
Level2Manager.cs,What is the purpose of the OnPuzzle1ButtonPressed() method?,It is triggered when the puzzle 1 button is pressed and forwards the event to the Level2PuzzleMaster class,It is triggered when the puzzle 2 is completed and forwards the event to the Level2PuzzleMaster class,It is triggered when the puzzle 3 key holder light changes color and forwards the event to the Level2PuzzleMaster class,It is triggered when the stage 2 pressure plate is activated and forwards the event to the Level2PuzzleMaster class,a
Level2Manager.cs,What is the purpose of the OnEnable() method?,It is called when the Level2Manager object is enabled and calls OnEnable on the Level2PuzzleMaster and Level2MainCoreStationManager classes,It is called when the Level2Manager object is disabled and calls OnEnable on the Level2PuzzleMaster and Level2MainCoreStationManager classes,It is called when the Level2PuzzleMaster object is enabled and calls OnEnable on the Level2Manager and Level2MainCoreStationManager classes,It is called when the Level2PuzzleMaster object is disabled and calls OnEnable on the Level2Manager and Level2MainCoreStationManager classes,a
Lvl2FriendManager.cs,What is the purpose of the Lvl2FriendManager class in Lvl2FriendManager.cs?,To control player movement,To manage some player behavior functionality,To handle player combat actions,To store references to key player components,b
Lvl2FriendManager.cs,Which events does Lvl2FriendManager.cs subscribe to?,OnLevelComplete and OnLevelStart events,OnLightsBackOn and OnLightsOut events,OnPlayerDeath and OnPlayerRespawn events,OnEnemySpawned and OnEnemyDespawned events,b
PressurePlate.cs,What is the main responsibility of the PressurePlate class?,To control the movement of the player,To handle the pressure plate's behavior,To manage the game's score,To load and save game data,b
PressurePlate.cs,What happens when an object enters the pressure plate's trigger collider?,The pressure plate moves to its active position,The game ends,A sound effect is played,The player's health is decreased,a
PressurePlate.cs,What is the purpose of the onStateChange UnityEvent?,To increase the player's score,To change the pressure plate's color,To play a sound effect,To notify other objects when the state of the pressure plate changes,d
Level2Puzzle2PixelPuzzle.cs,What is the purpose of the Level2Puzzle2PixelPuzzle class?,To manage player movement,To implement some puzzle logic,To handle player combat actions,To store references to key player components,b
Level2Puzzle2PixelPuzzle.cs,What does the OnPixelChanged method do in Level2Puzzle2PixelPuzzle.cs?,Finds the farthest destination from the player,Teleports the player,Checks if the puzzle is completed,Sets the player position,c
Level2Puzzle2PixelPuzzle.cs,What is the wire in the Level2Puzzle2PixelPuzzle class responsible for?,To indicate the current level,To show the player's health,To display the puzzle's completion status,To indicate the number of enemies remaining,c
Level2Puzzle3LastPhaseSubStairsRoomManager.cs,What is the purpose of the \'requiredColor\' variable in the \'Level2Puzzle3LastPhaseSubStairsRoomManager\' script?,To determine the color of the player,To control the size of the power source,To set the color of the stairs,To identify the correct light color for activating the power source,d
Level2Puzzle3LastPhaseSubStairsRoomManager.cs,What happens when the \'PowerSourceLightChanged\' method is called with the correct \'color\' parameter?,The stairs are deactivated,The stairs are destroyed,"The power source is activated, and the stairs are activated","The power source is deactivated, and the stairs are deactivated",c
